time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2021-01-01 00:00:00,26.4,22.4,79.0,0.0,,30.0,20.5,,1010.0,,3
2021-01-01 01:00:00,25.4,22.5,84.0,0.0,,30.0,18.4,,1010.0,,3
2021-01-01 02:00:00,25.2,23.2,89.0,0.0,,10.0,13.0,,1011.3,,3
2021-01-01 03:00:00,24.4,20.5,79.0,0.0,,20.0,16.6,,1009.0,,3
2021-01-01 04:00:00,24.4,20.5,79.0,0.0,,20.0,13.0,,1008.0,,3
2021-01-01 05:00:00,24.8,23.8,94.0,0.0,,350.0,14.8,,1010.9,,3
2021-01-01 06:00:00,25.4,20.4,74.0,0.0,,10.0,13.0,,1009.0,,17
2021-01-01 07:00:00,24.4,20.5,79.0,0.0,,30.0,24.1,,1009.0,,17
2021-01-01 08:00:00,25.1,23.7,92.0,1.3,,20.0,16.6,,1011.2,,8
2021-01-01 09:00:00,24.4,20.5,79.0,0.0,,20.0,13.0,,1010.0,,7
2021-01-01 10:00:00,25.4,20.4,74.0,0.0,,360.0,13.0,,1010.0,,7
2021-01-01 11:00:00,25.3,23.3,89.0,0.0,,360.0,14.8,,1011.9,,7
2021-01-01 12:00:00,22.4,18.4,78.0,0.0,,330.0,22.3,,1011.0,,9
2021-01-01 13:00:00,22.4,18.4,78.0,0.0,,350.0,27.7,,1011.0,,9
2021-01-01 14:00:00,22.4,22.1,98.0,0.0,,300.0,20.5,,1011.0,,9
2021-01-01 15:00:00,22.4,17.5,74.0,8.6,,330.0,18.4,,1009.0,,9
2021-01-01 16:00:00,22.4,17.5,74.0,0.0,,290.0,11.2,,1009.0,,9
2021-01-01 17:00:00,23.2,22.9,98.0,0.0,,280.0,13.0,,1009.8,,8
2021-01-01 18:00:00,23.4,18.5,74.0,0.0,,30.0,5.4,,1008.0,,8
2021-01-01 19:00:00,23.4,18.5,74.0,23.3,,0.0,0.0,,1009.0,,7
2021-01-01 20:00:00,23.5,23.0,97.0,0.0,,10.0,11.2,,1011.3,,9
2021-01-01 21:00:00,24.4,24.4,100.0,0.0,,320.0,3.6,,1010.0,,7
2021-01-01 22:00:00,24.4,24.4,100.0,1.7,,0.0,0.0,,1011.0,,7
2021-01-01 23:00:00,23.8,23.5,98.0,2.1,,10.0,11.2,,1012.4,,7
2021-01-02 00:00:00,24.4,23.4,94.0,1.0,,10.0,13.0,,1010.0,,7
2021-01-02 01:00:00,24.4,24.4,100.0,0.5,,350.0,9.4,,1010.0,,25
2021-01-02 02:00:00,24.0,23.7,98.0,0.0,,330.0,7.6,,1011.7,,8
2021-01-02 03:00:00,23.4,23.4,100.0,0.0,,20.0,13.0,,1010.0,,9
2021-01-02 04:00:00,23.4,23.4,100.0,0.2,,360.0,1.8,,1009.0,,9
2021-01-02 05:00:00,23.6,23.1,97.0,0.3,,320.0,9.4,,1010.5,,9
2021-01-02 06:00:00,23.8,22.8,94.0,0.6,,359.0,16.9,,1008.9,,9
2021-01-02 07:00:00,23.8,22.6,93.0,1.3,,355.0,16.6,,1009.6,,9
2021-01-02 08:00:00,22.8,22.5,98.0,1.3,,240.0,11.2,,1011.7,,9
2021-01-02 09:00:00,24.3,22.9,92.0,1.3,,355.0,19.4,,1010.9,,25
2021-01-02 10:00:00,24.5,23.3,93.0,0.9,,353.0,19.4,,1010.8,,26
2021-01-02 11:00:00,21.8,21.8,100.0,0.5,,300.0,5.4,,1013.0,,25
2021-01-02 12:00:00,25.7,23.0,85.0,0.2,,351.0,21.2,,1010.0,,25
2021-01-02 13:00:00,26.0,23.1,84.0,0.0,,351.0,20.2,,1009.5,,8
2021-01-02 14:00:00,21.6,21.6,100.0,0.1,,0.0,0.0,,1012.6,,8
2021-01-02 15:00:00,26.3,23.0,82.0,0.4,,354.0,22.7,,1007.9,,8
2021-01-02 16:00:00,25.7,23.2,86.0,2.1,,354.0,18.4,,1007.1,,8
2021-01-02 17:00:00,22.0,21.3,96.0,0.2,,320.0,11.2,,1008.9,,7
2021-01-02 18:00:00,24.1,22.9,93.0,3.4,,3.0,22.7,,1007.7,,7
2021-01-02 19:00:00,24.1,22.9,93.0,1.2,,7.0,20.9,,1008.3,,7
2021-01-02 20:00:00,22.9,20.8,88.0,0.4,,320.0,13.0,,1008.8,,9
2021-01-02 21:00:00,24.4,23.2,93.0,0.2,,356.0,16.2,,1009.7,,8
2021-01-02 22:00:00,24.2,23.2,94.0,0.1,,354.0,16.6,,1010.5,,8
2021-01-02 23:00:00,23.4,20.5,84.0,0.2,,330.0,7.6,,1011.3,,7
2021-01-03 00:00:00,24.2,22.8,92.0,0.2,,347.0,14.8,,1010.1,,7
2021-01-03 01:00:00,23.6,22.7,95.0,0.1,,2.0,11.2,,1009.9,,7
2021-01-03 02:00:00,22.4,20.7,90.0,0.1,,230.0,1.8,,1010.6,,7
2021-01-03 03:00:00,23.7,22.8,95.0,0.1,,331.0,14.4,,1008.7,,7
2021-01-03 04:00:00,23.6,22.4,93.0,0.3,,338.0,14.0,,1008.4,,7
2021-01-03 05:00:00,23.6,22.0,91.0,0.6,,310.0,7.6,,1009.6,,7
2021-01-03 06:00:00,23.9,22.7,93.0,0.1,,341.0,14.0,,1008.4,,8
2021-01-03 07:00:00,23.7,22.5,93.0,0.1,,347.0,13.0,,1008.8,,7
2021-01-03 08:00:00,23.9,22.7,93.0,0.6,,320.0,7.6,,1011.1,,8
2021-01-03 09:00:00,24.8,22.9,89.0,0.2,,350.0,12.2,,1010.2,,8
2021-01-03 10:00:00,24.5,23.1,92.0,0.1,,17.0,11.2,,1010.6,,8
2021-01-03 11:00:00,24.2,23.0,93.0,0.4,,310.0,9.4,,1012.2,,8
2021-01-03 12:00:00,25.5,23.5,89.0,0.3,,11.0,12.2,,1010.4,,8
2021-01-03 13:00:00,25.7,23.2,86.0,0.3,,10.0,12.2,,1009.8,,8
2021-01-03 14:00:00,23.5,23.2,98.0,1.6,,350.0,13.0,,1010.5,,8
2021-01-03 15:00:00,24.7,22.9,90.0,1.7,,2.0,10.8,,1008.1,,7
2021-01-03 16:00:00,24.6,23.6,94.0,1.0,,360.0,9.4,,1007.6,,7
2021-01-03 17:00:00,24.4,23.2,93.0,1.0,,360.0,5.4,,1009.6,,7
2021-01-03 18:00:00,24.1,22.9,93.0,2.4,,335.0,10.4,,1007.9,,25
2021-01-03 19:00:00,24.0,23.0,94.0,1.4,,330.0,10.8,,1008.4,,25
2021-01-03 20:00:00,24.1,22.9,93.0,1.5,,350.0,7.6,,1010.5,,9
